CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_NAZ_PES,PT_NAZ,PT_PES,NAZ_PES,PVEM_MORENA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,0,A,1,0,VA01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,ACTA LEVANTADA EN CONSEJO,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1820,B,1,0,B,0,29,30,8,13,33,38,105,5,3,44,7,12,4,2,0,1,0,0,0,0,8,0,342,0,20,362,681,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1820,C,1,0,C01,0,47,22,3,8,42,41,106,3,2,29,8,15,10,3,0,0,0,0,0,0,17,0,356,1,14,371,681,ACTA DE CASILLA,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1820,C,2,0,C02,0,35,32,6,13,43,42,117,6,4,36,2,13,5,1,0,0,2,0,0,0,6,0,363,0,19,382,681,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1820,C,3,0,C03,0,37,30,9,16,49,45,107,5,2,22,7,8,3,0,0,0,0,0,0,0,12,0,352,2,24,378,681,ACTA DE CASILLA,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1820,C,4,0,C04,0,27,24,2,8,38,56,105,3,4,31,11,9,9,1,0,1,0,0,0,0,16,0,345,1,19,365,681,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1820,E,1,0,E01,0,44,28,4,11,33,75,109,5,6,41,6,8,8,1,0,0,0,0,0,0,5,0,384,2,15,401,588,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1820,E,1,1,E01C01,0,51,32,5,11,33,62,116,3,5,34,8,8,10,0,0,0,2,0,0,0,6,0,386,2,10,398,588,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1841,B,1,0,B,0,27,15,4,15,20,33,75,3,2,14,3,9,3,0,0,0,0,0,0,0,6,0,229,0,20,249,390,ACTA DE CASILLA,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1841,C,1,0,C01,0,33,22,6,9,23,35,65,1,2,20,6,4,6,1,0,0,1,0,0,0,5,0,239,0,11,250,390,ACTA DE CASILLA,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1845,B,1,0,B,0,30,24,2,9,18,31,72,1,2,21,4,6,5,0,0,0,0,0,0,0,2,0,227,0,10,237,391,ACTA DE CASILLA,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1845,C,1,0,C01,0,26,22,1,3,18,53,84,2,4,24,6,4,0,0,0,0,0,0,0,0,3,0,250,0,12,262,391,ACTA DE CASILLA,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1846,B,1,0,B,0,49,49,7,6,38,47,152,8,4,45,28,17,6,3,0,0,1,1,0,0,9,0,470,1,17,488,745,ACTA DE CASILLA,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1847,B,1,0,B,0,34,28,6,10,45,45,107,6,4,29,5,16,5,1,0,0,1,0,0,0,9,0,351,0,13,364,634,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1847,C,1,0,C01,0,31,25,7,6,44,39,107,10,0,35,17,8,8,1,0,0,0,0,0,1,8,0,347,1,14,362,633,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1847,C,2,0,C02,0,29,24,4,11,52,47,93,5,2,27,13,11,7,1,0,1,0,0,0,0,9,0,336,1,14,351,633,ACTA DE CASILLA,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1848,B,1,0,B,0,32,27,1,5,18,42,69,5,0,21,15,5,4,0,0,0,0,0,0,0,9,0,253,0,18,271,449,ACTA DE CASILLA,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1848,C,1,0,C01,0,31,30,5,9,22,36,79,10,3,26,20,5,3,0,0,0,0,0,0,0,5,0,284,2,12,298,448,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1849,B,1,0,B,0,28,24,2,9,26,44,81,7,4,25,14,6,3,1,0,0,0,0,0,0,4,0,278,1,13,292,503,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1849,C,1,0,C01,0,25,17,6,5,29,41,85,8,3,13,9,4,0,4,0,0,0,0,0,0,10,0,259,0,21,280,503,ACTA DE CASILLA,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1850,B,1,0,B,0,38,19,3,10,36,55,91,7,4,24,11,6,5,0,0,0,0,0,0,0,5,0,314,0,22,336,586,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1851,B,1,0,B,0,50,36,7,16,38,68,103,7,2,15,12,15,5,0,0,0,0,0,0,0,13,0,387,0,16,403,603,ACTA DE CASILLA,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1852,B,1,0,B,0,64,35,1,14,34,56,124,8,4,36,6,3,8,2,1,0,0,0,0,0,3,0,399,1,31,431,695,ACTA DE CASILLA,,,
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1853,B,1,0,B,0,68,33,5,7,16,37,62,2,3,14,9,4,7,2,1,0,0,0,0,0,5,0,275,0,10,285,412,ACTA DE CASILLA,,,
